"","title","author","source","abstract","keywords","research_areas","year"
"46","Separation of Single-stranded DNA, Double-stranded DNA and RNA from an Environmental Viral Community Using Hydroxyapatite Chromatography","Fadrosh, DW and Andrews-Pfannkoch, C and Williamson, SJ","JOVE-JOURNAL OF VISUALIZED EXPERIMENTS","Viruses, particularly bacteriophages (phages), are the most numerous biological entities on Earth(1,2). Viruses modulate host cell abundance and diversity, contribute to the cycling of nutrients, alter host cell phenotype, and influence the evolution of both host cell and viral communities through the lateral transfer of genes (3). Numerous studies have highlighted the staggering genetic diversity of viruses and their functional potential in a variety of natural environments. Metagenomic techniques have been used to study the taxonomic diversity and functional potential of complex viral assemblages whose members contain single-stranded DNA (ssDNA), double-stranded DNA (dsDNA) and RNA genotypes (4-9). Current library construction protocols used to study environmental DNA-containing or RNA-containing viruses require an initial nuclease treatment in order to remove nontargeted templates (10). However, a comprehensive understanding of the collective gene complement of the virus community and virus diversity requires knowledge of all members regardless of genome composition. Fractionation of purified nucleic acid subtypes provides an effective mechanism by which to study viral assemblages without sacrificing a subset of the community's genetic signature. Hydroxyapatite, a crystalline form of calcium phosphate, has been employed in the separation of nucleic acids, as well as proteins and microbes, since the 1960s(11). By exploiting the charge interaction between the positively-charged Ca2+ ions of the hydroxyapatite and the negatively charged phosphate backbone of the nucleic acid subtypes, it is possible to preferentially elute each nucleic acid subtype independent of the others. We recently employed this strategy to independently fractionate the genomes of ssDNA, dsDNA and RNA-containing viruses in preparation of DNA sequencing (12). Here, we present a method for the fractionation and recovery of ssDNA, dsDNA and RNA viral nucleic acids from mixed viral assemblages using hydroxyapatite chromotography.","Immunology; Issue 55; Hydroxyapatite; single-stranded DNA; and double-stranded DNA; RNA; DNA; chromatography; viral ecology; virus; and bacteriophage","Science & Technology - Other Topics","2011"
"47","Discovery of Cyanophage Genomes Which Contain Mitochondrial DNA Polymerase","Chan, YW and Mohr, R and Millard, AD and Holmes, AB and Larkum, AW and Whitworth, AL and Mann, NH and Scanlan, DJ and Hess, WR and Clokie, MRJ","MOLECULAR BIOLOGY AND EVOLUTION","DNA polymerase gamma is a family A DNA polymerase responsible for the replication of mitochondrial DNA in eukaryotes. The origins of DNA polymerase gamma have remained elusive because it is not present in any known bacterium, though it has been hypothesized that mitochondria may have inherited the enzyme by phage-mediated nonorthologous displacement. Here, we present an analysis of two full-length homologues of this gene, which were found in the genomes of two bacteriophages, which infect the chlorophyll-d containing cyanobacterium Acaryochloris marina. Phylogenetic analyses of these phage DNA polymerase gamma proteins show that they branch deeply within the DNA polymerase gamma clade and therefore share a common origin with their eukaryotic homologues. We also found homologues of these phage polymerases in the environmental Community Cyberinfrastructure for Advanced Microbial Ecology Research and Analysis (CAMERA) database, which fell in the same clade. An analysis of the CAMERA assemblies containing the environmental homologues together with the filter fraction metadata indicated some of these assemblies may be of bacterial origin. We also show that the phage-encoded DNA polymerase gamma is highly transcribed as the phage genomes are replicated. These findings provide data that may assist in reconstructing the evolution of mitochondria.","Acaryochloris; cyanophage; evolution; mitochondrial DNA polymerase gamma","Biochemistry & Molecular Biology; Evolutionary Biology; Genetics & and Heredity","2011"
"48","A protocol for enumeration of aquatic viruses by epifluorescence microscopy using Anodisc (TM) 13 membranes","Budinoff, CR and Loar, SN and LeCleir, GR and Wilhelm, SW and Buchan, A","BMC MICROBIOLOGY","Background: Epifluorescence microscopy is a common method used to enumerate virus-like particles (VLP) from environmental samples and relies on the use of filter membranes with pore sizes < 0.02 mu m; the most commonly used protocols employ 25 mm Anodisc (TM) membranes with a built-in support ring. Other filters with small pore sizes exist, including the 13 mm Anodisc (TM) membranes without a support ring. However, the use of these membranes for viral enumeration has not been previously reported. Results: Here we describe a modified protocol for 13 mm Anodisc membranes that uses a custom filter holder that can be readily constructed in individual investigators' laboratories from commercially available Swinnex (R) filter holders. We compared VLP concentrations obtained from phage lysates and seawater samples using both Anodisc membranes, as well as Nuclepore (TM) small pore-size membranes (0.015 or 0.030 mu m). The 13 mm Anodisc membranes gave comparable estimates of VLP abundance to those obtained with the 25 mm Anodisc membranes when similar staining methods were employed. Both Nuclepore membranes typically gave an order of magnitude lower VLP abundance values for environmental samples. Conclusions: The 13 mm Anodisc membranes are less costly and require smaller sample volumes than their 25 mm counterpart making them ideal for large-scale studies and sample replication. This method increases the options of reliable approaches available for quantifying VLP from environmental samples.",NA,"Microbiology","2011"
"49","Repeating patterns of virioplankton production within an estuarine ecosystem","Winget, DM and Helton, RR and Williamson, KE and Bench, SR and Williamson, SJ and Wommack, KE","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF and AMERICA","The Chesapeake Bay, a seasonally variable temperate estuary, provides a natural laboratory for examining the fluctuations and impacts of viral lysis on aquatic microorganisms. Viral abundance (VA) and viral production (VP) were monitored in the Chesapeake Bay over 4 1/2 annual cycles, producing a unique, long-term, interannual study of virioplankton production. High and dynamic VP rates, averaging 7.9 x 10(6) viruses per mL per h, indicate that viral lysis impacts a significant fraction of microorganisms in the Chesapeake. Viral-mediated bacterial mortality, VA, VP, and organic carbon release all displayed similar interannual and seasonal trends with higher values in 2003 and 2006 than in 2004 and 2005 and peaks in early spring and summer. Surprisingly, higher rates of viral lysis occurred in winter, resulting in a magnified effect of viral lysis on bacterioplankton during times of reduced productivity. Viral lysis directly impacted the organic carbon pool, contributing on average 76 mu g of C per L per d, an amount capable of sustaining similar to 55% of Chesapeake Bay bacterial production. The observed repeating interannual patterns of VP and lysis are likely interlinked with seasonal cycles of host abundance and diversity, which are in turn driven by annual cycles in environmental conditions, emphasizing the complex interplay of seasonality and microbial ecology in the Chesapeake Bay.","viral ecology; biogeochemistry; carbon cycle; bacteriophage; tangential and flow diafiltration","Science & Technology - Other Topics","2011"
"50","TheViral MetaGenome Annotation Pipeline (VMGAP): An automated tool for the functional annotation of viral Metagenomic shotgun sequencing data","Lorenzi, HA and Hoover, J and Inman, J and Safford, T and Murphy, S and Kagan, L and Williamson, SJ","STANDARDS IN GENOMIC SCIENCES","In the past few years, the field of metagenomics has been growing at an accelerated pace, particularly in response to advancements in new sequencing technologies. The large volume of sequence data from novel organisms generated by metagenomic projects has triggered the development of specialized databases and tools focused on particular groups of organisms or data types. Here we describe a pipeline for the functional annotation of viral metagenomic sequence data. The Viral MetaGenome Annotation Pipeline (VMGAP) pipeline takes advantage of a number of specialized databases, such as collections of mobile genetic elements and environmental metagenomes to improve the classification and functional prediction of viral gene products. The pipeline assigns a functional term to each predicted protein sequence following a suite of comprehensive analyses whose results are ranked according to a priority rules hierarchy. Additional annotation is provided in the form of enzyme commission (EC) numbers, GO/MeGO terms and Hidden Markov Models together with supporting evidence.","J. Craig Venter Institute; metagenomic annotation; viral annotation","Genetics & Heredity; Microbiology","2011"
"51","Identifying Active Phage Lysins through Functional Viral Metagenomics","Schmitz, JE and Schuch, R and Fischetti, VA","APPLIED AND ENVIRONMENTAL MICROBIOLOGY","Recent metagenomic sequencing studies of uncultured viral populations have provided novel insights into the ecology of environmental bacteriophage. At the same time, viral metagenomes could also represent a potential source of recombinant proteins with biotechnological value. In order to identify such proteins, a novel two-step screening technique was devised for cloning phage lytic enzymes from uncultured viral DNA. This plasmid-based approach first involves a primary screen in which transformed Escherichia coli clones that demonstrate colony lysis following exposure to inducing agent are identified. This effect, which can be due to the expression of membrane-permeabilizing phage holins, is discerned by the development a hemolytic effect in surrounding blood agar. In a secondary step, the clones identified in the primary screen are overlaid with autoclaved Gram-negative bacteria (specifically Pseudomonas aeruginosa) to assay directly for recombinant expression of lytic enzymes, which are often encoded proximally to holins in phage genomes. As proof-ofprinciple, the method was applied to a viral metagenomic library constructed from mixed animal feces, and 26 actively expressed lytic enzymes were cloned. These proteins include both Gram-positive-like and Gram-negative-like enzymes, as well as several atypical lysins whose predicted structures are less common among known phage. Overall, this study represents one of the first functional screens of a viral metagenomic population, and it provides a general approach for characterizing lysins from uncultured phage.",NA,"Biotechnology & Applied Microbiology; Microbiology","2010"
"52","Virus Silicification under Simulated Hot Spring Conditions","Laidler, JR and Stedman, KM","ASTROBIOLOGY","Silicification of organisms in silica-depositing environments can impact both their ecology and their presence in the fossil record. Although microbes have been silicified under laboratory and environmental conditions, viruses have not. Bacteriophage T4 was successfully silicified under laboratory conditions that closely simulated those found in silica-depositing hot springs. Virus morphology was maintained, and a clear elemental signature of phosphorus was detected by energy-dispersive X-ray spectrophotometry (EDS).","Bacteriophage T4; Virus; Microbial silicification; Fossil record","Astronomy & Astrophysics; Life Sciences & Biomedicine - Other Topics; and Geology","2010"
"53","Enterophages, a group of phages infecting Enterococcus faecalis, and their potential as alternate indicators of human faecal contamination","Bonilla, N and Santiago, T and Marcos, P and Urdaneta, M and Domingo, JS and Toranzos, GA","WATER SCIENCE AND TECHNOLOGY","We have developed a method for the detection of viruses in environmental samples that we have called enterophages, that specifically infect Enterococcus faecalis. This method has allowed us to determine the prevalence and to study the ecology of this group of phages. The enterophages replicate at 37 degrees C, and at 41 degrees C. The presence of NaN3 in the media inhibits the growth of background microbiota and allows an accurate, specific and rapid detection of these viruses. Enterophages were present in raw domestic sewage at lower concentrations (average 1.8 x 10(2) PFU/100 mL) than those of coliphages (average 1.7 x 10(5) PFU/100 mL). Phages were characterised by transmission electron microscopy showing icosahedral capsids, some with non-contractile tails as well as icosahedral non-tailed capsids. Different isolates had capsid sizes ranging from 20 nm to about 75 nm in diameter. These data describe a new group of phages that may serve as alternate indicators of human faecal pollution, especially in recreational waters. The ecology of these enterophages indicates that these may be strictly of human origin.","enterococci; enterophages; faecal contamination; indicators; and recreational waters","Engineering; Environmental Sciences & Ecology; Water Resources","2010"
"54","Evolutionary ecology of microbial wars: within-host competition and (incidental) virulence","Brown, SP and Inglis, RF and Taddei, F","EVOLUTIONARY APPLICATIONS","Invading an occupied niche is a formidable ecological challenge, and one of particular human importance in the context of food-borne microbial pathogens. We discuss distinct categories of invader-triggered environmental change that facilitate invasion by emptying their niche of competitors. Evidence is reviewed that gut bacteria use such strategies to manipulate their environment (via bacteriocins, temperate phage viruses or immuno-manipulation) at the expense of their competitors are reviewed. The possible virulence implications of microbial warfare among multiple co-infecting strains are diverse. Killing competitors can reduce virulence by reducing overall microbial densities, or increase virulence if for example the allelopathic mechanism involves immuno-manipulation. Finally, we place microbial anti-competitor strategies in a social evolution framework, highlighting how costly anti-competitor strategies can be understood as examples of microbial spite. We conclude by discussing other invasive species that have also developed such proactive strategies of invasion.","disease biology; evolutionary theory; microbial biology; social and evolution; virulence","Evolutionary Biology","2009"
"55","Molecular epidemiological studies of Vibrio cholerae in Bengal region","Shinoda, S and Nakagawa, T and Hirakawa, N and Miyoshi, SI and Arakawa, E and Ramamurthy, T and Dutta, B and Faruque, SM and Nair, GB","BIOCONTROL SCIENCE","Vibrio cholerae isolates from environmental and clinical origins in the Bengal region in which epidemics of cholera break out periodically were analyzed with particular emphasis on the molecular epidemiological features. The presence of the virulence genes (ctxA, tcpA and toxR) in the isolates was analyzed by the PCR (polymerase chain reaction) method. PFGE (pulsed-field gel electrophoresis) was performed to determine the clonal relationships between the clinical and environmental strains. Antiblograms and O serovars of the isolates were also examined. O1 and O139 strains from both clinical and environmental sources were all positive for the three virulence genes while non-O1/non-O139 strains from both sources were all negative for ctxA and tcpA but positive for toxR. PFGE patterns of recent isolates of O1 and O139 were similar in each serovar regardless of origin, suggesting a clonal relationship between the clinical and environmental strains, although comparison with past isolates or isolates from different geographical area showed some differences.","Vibrio cholerae; molecular epidemiology; Bengal region; pulsed-field gel and electrophoresis.","Life Sciences & Biomedicine - Other Topics; Biotechnology & Applied and Microbiology","2008"
"56","The marine viromes of four oceanic regions","Angly, FE and Felts, B and Breitbart, M and Salamon, P and Edwards, RA and Carlson, C and Chan, AM and Haynes, M and Kelley, S and Liu, H and Mahaffy, JM and Mueller, JE and Nulton, J and Olson, R and Parsons, R and Rayhawk, S and Suttle, CA and Rohwer, F","PLOS BIOLOGY","Viruses are the most common biological entities in the marine environment. There has not been a global survey of these viruses, and consequently, it is not known what types of viruses are in Earth's oceans or how they are distributed. Metagenomic analyses of 184 viral assemblages collected over a decade and representing 68 sites in four major oceanic regions showed that most of the viral sequences were not similar to those in the current databases. There was a distinct ""marine-ness'' quality to the viral assemblages. Global diversity was very high, presumably several hundred thousand of species, and regional richness varied on a North-South latitudinal gradient. The marine regions had different assemblages of viruses. Cyanophages and a newly discovered clade of single-stranded DNA phages dominated the Sargasso Sea sample, whereas prophage-like sequences were most common in the Arctic. However most viral species were found to be widespread. With a majority of shared species between oceanic regions, most of the differences between viral assemblages seemed to be explained by variation in the occurrence of the most common viral species and not by exclusion of different viral genomes. These results support the idea that viruses are widely dispersed and that local environmental conditions enrich for certain viral types through selective pressure.",NA,"Biochemistry & Molecular Biology; Life Sciences & Biomedicine - Other and Topics","2006"
"57","Differential adsorption of occluded and nonoccluded insect-pathogenic viruses to soil-forming minerals","Christian, PD and Richards, AR and Williams, T","APPLIED AND ENVIRONMENTAL MICROBIOLOGY","Soil represents the principal environmental reservoir of many insect-pathogenic viruses. We compared the adsorption and infectivity of one occluded and two nonoccluded viruses, Helicoverpa armigera single nucleopolyhedrovirus (HaSNPV) (Baculoviridae), Cricket paralysis virus (CrPV) (Dicistroviridae), and Invertebrate iridescent virus 6 (IIV-6) (Iridoviridae), respectively, in mixtures with a selection of soil-forming minerals. The relative infective titers of HaSNPV and CrPV were unchanged or slightly reduced in the presence of different minerals compared to their titers in the absence of the mineral. In contrast, the infective titer of IIV-6 varied according to the mineral being tested. In adsorption studies, over 98% of HaSNPV occlusion bodies were adsorbed by all the minerals, and a particularly high affinity was observed with ferric oxide, attapulgite, and kaolinite. In contrast, the adsorption of CrPV and IIV-6 differed markedly with mineral type, with low affinity to bentonites and high affinity to ferric oxide and kaolinite. We conclude that interactions between soil-formirig minerals and insect viruses appear to be most important in nucleopolyhedroviruses, followed by invertebrate iridescent viruses, and least important in CrPV, which may reflect the ecology of these pathogens. Moreover, soils with a high content of iron oxides or kaolinite would likely represent highly effective reservoirs for insect-pathogenic viruses.",NA,"Biotechnology & Applied Microbiology; Microbiology","2006"
"58","Improved isolation of undersampled bacteriophages: finding of distant terminase genes","Serwer, P and Hayes, SJ and Zaman, S and Lieman, K and Rolando, M and Hardies, SC","VIROLOGY","Isolation and characterization of new environmental bacteriophages are performed for (1) analyzing microbial evolution and ecology and (2) delivering biological therapy. The sampling of environmental bacteriophages appears, however, to be limited by the procedure (usually liquid enrichment culture) used to propagate them. An alternative, less competitive procedure is developed here for the purpose of isolating new bacteriophages. This procedure involves extraction directly into and then propagation in a dilute agarose gel. Adaptations of this procedure are used to avoid repeated isolation of the same bacteriophage. Some newly isolated bacteriophages grow so poorly that they appear inaccessible to liquid enrichment culture. Four comparatively high titer bacteriophages were isolated and characterized by a genomic sequence survey. Some had genomes with extremely distant relationships to those of other bacteriophages, based on a tree built from the large terminase genes. These methods find novel genomes by rapidly isolating and screening diverse bacteriophages. (C) 2004 Elsevier Inc. All rights reserved.","agarose; bacteriophage 1102 phi 3-1; environmental bacteria; genomic and nucleotide sequence; nucleotide sequence homology","Virology","2004"
"59","Bacteriophage-Host Association in the Phytoplasma Insect Vector Euscelidius variegatus","Vallino, M and Rossi, M and Ottati, S and Martino, G and Galetto, L and Marzachi, C and Abba, S","PATHOGENS","Insect vectors transmit viruses and bacteria that can cause severe diseases in plants and economic losses due to a decrease in crop production. Insect vectors, like all other organisms, are colonized by a community of various microorganisms, which can influence their physiology, ecology, evolution, and also their competence as vectors. The important ecological meaning of bacteriophages in various ecosystems and their role in microbial communities has emerged in the past decade. However, only a few phages have been described so far in insect microbiomes. The leafhopper Euscelidius variegatus is a laboratory vector of the phytoplasma causing Flavescence doree, a severe grapevine disease that threatens viticulture in Europe. Here, the presence of a temperate bacteriophage in E. variegatus (named Euscelidius variegatus phage 1, EVP-1) was revealed through both insect transcriptome analyses and electron microscopic observations. The bacterial host was isolated in axenic culture and identified as the bacterial endosymbiont of E. variegatus (BEV), recently assigned to the genus Candidatus Symbiopectobacterium. BEV harbors multiple prophages that become active in culture, suggesting that different environments can trigger different mechanisms, finely regulating the interactions among phages. Understanding the complex relationships within insect vector microbiomes may help in revealing possible microbe influences on pathogen transmission, and it is a crucial step toward innovative sustainable strategies for disease management in agriculture.","microbiome; bacteriophages; insect vectors; Euscelidius variegatus; and phytoplasma; Flavescence doree; transcriptome; electron microscopy","Microbiology","2021"
"60","The prokaryotic community in an extreme Antarctic environment: the brines of Boulder Clay lakes (Northern Victoria Land)","Azzaro, M and Maimone, G and La Ferla, R and Cosenza, A and Rappazzo, AC and Caruso, G and Paranhos, R and Cabral, AS and Forte, E and Guglielmin, M","HYDROBIOLOGIA","During summer 2014, three hypersaline brines were discovered in two frozen lakes of Boulder Clay (Northern Victoria Valley, Antarctica). Ongoing research seeks to gain novel insights on the microbial ecology of such environments, in order to further the understanding of life adaptation to extreme conditions. To this aim, the abundance of prokaryotic cells (including cell morphologies and size for biomass conversion), the amount of viable cells (in terms of membrane-intact cells and respiring cells), the viral count, the physiological profiles at community level and the main microbial enzymatic activities were described. The brines differed each other in terms of prokaryotic cells' abundance, size, and viability as well as viral abundance. Cell morphotypes and metabolic responses also varied among the brine samples. Underground interconnections were likely to occur, with the microbial community becoming more abundant and structured to better exploit the limited resource availability. Overall, complex interactions among multiple environmental factors, including marine water origin, depth horizon, isolation time of the brines, and climatic variations, reflected on the microbial community distribution patterns and highlighted the need to preserve these niches of extreme life.","Prokaryotes; Viruses; Metabolic potentials; Brines; Antarctica","Marine & Freshwater Biology","2021"
"61","Interaction dynamics and virus-host range for estuarine actinophages captured by epicPCR","Sakowski, EG and Arora-Williams, K and Tian, FN and Zayed, AA and Zablocki, O and Sullivan, MB and Preheim, SP","NATURE MICROBIOLOGY","Using epicPCR, a method that fuses a phage marker gene with the 16S rRNA gene of infected bacterial cells at single-cell resolution, the authors identify host-virus interactions and dynamics over time in an estuarine environment. Viruses impact microbial diversity, gene flow and function through virus-host interactions. Although metagenomics surveys are rapidly cataloguing viral diversity, methods are needed to capture specific virus-host interactions in situ. Here, we leveraged metagenomics and repurposed emulsion paired isolation-concatenation PCR (epicPCR) to investigate viral diversity and virus-host interactions in situ over time in an estuarine environment. The method fuses a phage marker, the ribonucleotide reductase gene, with the host 16S rRNA gene of infected bacterial cells within emulsion droplets providing single-cell resolution for dozens of samples. EpicPCR captured in situ virus-host interactions for viral clades with no closely related database representatives. Abundant freshwater Actinobacteria lineages, in particular Rhodoluna sp., were the most common hosts for these poorly characterized viruses, with interactions correlated with environmental factors. Multiple methods used to identify virus-host interactions, including epicPCR, identified different and largely non-overlapping interactions within the vast virus-host interaction space. Tracking virus-host interaction dynamics also revealed that multi-host viruses had significantly longer periods with observed virus-host interactions, whereas single-host viruses were observed interacting with hosts at lower minimum abundances, suggesting more efficient interactions. Capturing in situ interactions with epicPCR revealed environmental and ecological factors shaping virus-host interactions, highlighting epicPCR as a valuable technique in viral ecology.",NA,"Microbiology","2021"
"62","A Novel Group of Promiscuous Podophages Infecting Diverse Gammaproteobacteria from River Communities Exhibits Dynamic Intergenus Host Adaptation","Cazares, D and Cazares, A and Figueroa, W and Guarneros, G and Edwards, RA and Vinuesa, P","MSYSTEMS","Phages are generally described as species specific or even strain specific, implying an inherent limitation for some to be maintained and spread in diverse bacterial communities. Moreover, phage isolation and host range determination rarely consider the phage ecological context, likely biasing our notion on phage specificity. Here we isolated and characterized a novel group of six promiscuous phages, named Atoyac, existing in rivers and sewage by using a diverse collection of over 600 bacteria retrieved from the same environments as potential hosts. These podophages isolated from different regions in Mexico display a remarkably broad host range, infecting bacteria from six genera: Aeromonas, Pseudomonas, Yersinia, Hafnia, Escherichia, and Serratia. Atoyac phage genomes are similar to 42 kb long and highly similar to each other, but not to those currently available in genome and metagenome public databases. Detailed comparison of the phages' efficiency of plating (EOP) revealed variation among bacterial genera, implying a cost associated with infection of distant hosts, and between phages, despite their sequence similarity. We show, through experimental evolution in single or alternate hosts of different genera, that efficiency of plaque production is highly dynamic and tends toward optimization in hosts rendering low plaque formation. However, adaptation to distinct hosts differed between similar phages; whereas one phage optimized its EOP in all tested hosts, the other reduced plaque production in one host, suggesting that propagation in multiple bacteria may be key to maintain promiscuity in some viruses. Our study expands our knowledge of the virosphere and uncovers bacteriumphage interactions overlooked in natural systems. IMPORTANCE In natural environments, phages coexist and interact with a broad variety of bacteria, posing a conundrum for narrow-host-range phage maintenance in diverse communities. This context is rarely considered in the study of host-phage interactions, typically focused on narrow-host-range viruses and their infectivity in target bacteria isolated from sources distinct to where the phages were retrieved from. By studying phage-host interactions in bacteria and viruses isolated from river microbial communities, we show that novel phages with promiscuous host range encompassing multiple bacterial genera can be found in the environment. Assessment of hundreds of interactions in diverse hosts revealed that similar phages exhibit different infection efficiency and adaptation patterns. Understanding host range is fundamental in our knowledge of bacterium-phage interactions and their impact on microbial communities. The dynamic nature of phage promiscuity revealed in our study has implications in different aspects of phage research such as horizontal gene transfer or phage therapy.","bacteriophages; environmental microbiology; experimental evolution; and microbial ecology; phage-bacterium interactions","Microbiology","2021"
"63","Population Genomics of Plant Viruses: The Ecology and Evolution of Virus Emergence","McLeish, MJ and Fraile, A and Garcia-Arenal, F","PHYTOPATHOLOGY","The genomics era has revolutionized studies of adaptive evolution by monitoring large numbers of loci throughout the genomes of many individuals. Ideally, the investigation of emergence in plant viruses requires examining the population dynamics of both virus and host, their interactions with each other, with other organisms and the abiotic environment. Genetic mechanisms that affect demographic processes are now being studied with high-throughput technologies, traditional genetics methods, and new computational tools for big-data. In this review, we discuss the utility of these approaches to monitor and detect changes in virus populations within cells and individuals, and over wider areas across species and communities of ecosystems. The advent of genomics in virology has fostered a multidisciplinary approach to tackling disease risk The ability to make sense of the information now generated in this integrated setting is by far the most substantial obstacle to the ultimate goal of plant virology to minimize the threats to food security posed by disease. To achieve this goal, it is imperative to understand and forecast how populations respond to future changes in complex natural systems.","diseases in natural plant populations; ecology; evolution; genomics; and host parasite interactions; population biology; virology","Plant Sciences","2021"
"64","Urban Ecology of Arboviral Mosquito Vectors Along the Kenyan Coast","Karisa, J and Muriu, S and Omuoyo, D and Karia, B and Ngari, M and Nyamwaya, D and Rono, M and Warimwe, G and Mwangangi, J and Mbogo, CM","JOURNAL OF MEDICAL ENTOMOLOGY","The purpose of this study was to determine the ecology of the common arboviral mosquito vectors in Mombasa, Kilifi and Malindi urban areas of coastal Kenya. Mosquito larvae were collected using standard dippers and pipettes. Egg survivorship in dry soil was evaluated by collecting soil samples from dry potential larval developmental sites, re-hydrating them for hatching and rearing of the eventual larvae to adults. Adult mosquitoes were collected with CDC light traps and BG-Sentinel traps. All blood-fed females were tested for bloodmeal origin. Mosquitoes were screened for arboviruses using RT-qPCR. Overall, the predominant species were Culex quinquefasciatus (Say) 72.4% (n = 2,364) and Aedes aegypti (L.), 25.7%, (n = 838). A total of 415 larval developmental sites were identified indoors (n = 317) and outdoors (n = 98). The most productive larval developmental sites, both indoors and outdoors, were assorted small containers, water tanks, drainages, drums, and jerricans. Overall, 62% (n = 18) of the soil samples collected were positive for larvae which were used as a proxy to measure the presence of eggs. The mosquitoes fed on humans (29.8%) and chickens (3.7%). Of 259 mosquitoes tested for viral infection, 11.6% were positive for Flavivirus only. The most productive larval developmental sites for arboviral vectors indoors were small containers, water tanks, jerricans, and drums whereas small containers, water tanks, drainage channels, buckets, tires, and water troughs were the productive larval developmental sites outdoors.","Aedes; Culex; arbovirus; ecology","Entomology; Veterinary Sciences","2021"
"65","Identification and characterization of a new strain of nervous necrosis virus isolated from pearl gentian grouper (Epinephelus lanceolatus x Epinephelus fuscoguttatus) in China","Xing, J and Zhang, ZQ and Sheng, XZ and Tang, XQ and Chi, H and Zhan, WB","AQUACULTURE","Viral nervous necrosis (VNN), caused by nervous necrosis virus (NNV), is a worldwide disease that severely imperils many kinds of marine and freshwater fish. In this study, a NNV strain CNPgg2018 isolated from pearl gentian grouper (Epinephelus lanceolatus male x Epinephelus fuscoguttatu female) juveniles was identified and characterized by histopathology examination, transmission electron microscopic (TEM), reverse transcription-polymerase chain reaction (RT-PCR), virus culture, phylogenetic analysis and experimental infection. The results showed that the diseased fish exhibited symptoms with loss of appetite, darkened body and abnormal swimming behavior. Histopathological examination revealed widespread diffuse vacuolation degeneration appeared in the brain, retina and peripheral nerve tissues. TEM observation showed that numerous virions with a diameter of about 25 nm scattered around the retinal vacuolation. Significant cytopathic effects (CPE) were observed in striped snakehead (SSN-1) and grouper brain (GB) cell lines, not in Chinook salmon embryo (CHSE-214), epithelioma papillosum cyprini (EPC) and fat-head minnow (FHM) cell lines after inoculation of pathological tissue homogenates. RT-PCR and phylogenetic tree analysis indicated that CNPgg2018 was a member of NNV with highly homology to RGNNV genotype. Besides, both monomer and tripolymer forms of capsid protein were detected through structural polypeptide analysis and three-dimensional model prediction. Infection experiment demonstrated that CNPgg2018 was virulent to pearl gentian grouper juvenile with a LD50 of 1.0 x 10(6.1) TCID50/fish. In conclusion, we investigated a natural disease in pearl gentian grouper and confirmed that the pathogen was NNV. The results of this study provide new insights into the current research on the biology, ecology and host range of NNV.","Nervous necrosis virus; Pearl gentian grouper; Identification; and Isolation; Pathogenicity","Fisheries; Marine & Freshwater Biology","2020"
"66","Discovering the Molecular Determinants of Phaeobacter inhibens Susceptibility to Phaeobacter Phage MD18","Urtecho, G and Campbell, DE and Hershey, DM and Hussain, FA and Whitaker, RJ and O'Toole, GA","MSPHERE","Bacteriophages have immense potential as antibiotic therapies and in genetic engineering. Understanding the mechanisms that bacteriophages implement to infect their hosts will allow researchers to manipulate these systems and adapt them to specific bacterial targets. In this study, we isolated a bacteriophage capable of infecting the marine alphaproteobacterium Phaeobacter inhibens and determined its mechanism of infection. Phaeobacter virus MD18, a novel species of bacteriophage isolated in Woods Hole, MA, exhibits potent lytic ability against P. inhibens and appears to be of the Siphoviridae morphotype. The genomic sequence of MD18 displayed significant similarity to another siphophage, the recently discovered Roseobacter phage DSS3P8, but genomic and phylogenetic analyses, assessing host range and a search of available metagenomes are all consistent with the conclusion that Phaeobacter phage MD18 is a novel lytic phage. We incubated MD18 with a library of barcoded P. inhibens transposon insertion mutants and identified 22 genes that appear to be required for phage predation of this host. Network analysis of these genes using genomic position, Gene Ontology (GO) term enrichment, and protein associations revealed that these genes are enriched for roles in assembly of a type IV pilus (T4P) and regulators of cellular morphology. Our results suggest that T4P serve as receptors for a novel marine virus that targets P. inhibens. IMPORTANCE Bacteriophages are useful nonantibiotic therapeutics for bacterial infections as well as threats to industries utilizing bacterial agents. This study identified Phaeobacter virus MD18, a phage antagonist of Phaeobacter inhibens, a bacterium with promising use as a probiotic for aquatic farming industries. Genomic analysis suggested that Phaeobacter phage MD18 has evolved to enhance its replication in P. inhibens by adopting favorable tRNA genes as well as through genomic sequence adaptation to resemble host codon usage. Lastly, a high-throughput analysis of P. inhibens transposon insertion mutants identified genes that modulate host susceptibility to phage MD18 and implicated the type IV pilus as the likely receptor recognized for adsorption. This study marks the first characterization of the relationship between P. inhibens and an environmentally sampled phage, which informs our understanding of natural threats to the bacterium and may promote the development of novel phage technologies for genetic manipulation of this host.","bacteriophage; BarSeq; ecology; microbial interactions; phage genomics","Microbiology","2020"
